"Basin
Subbasin ID",Basin Name,Subbasin Name,Hydrologic Name,Basin - Subbasin Area (acre),Total Rank Scoring,Final Priority,Population (2010),Final Population Rank,"Population Growth
%",Final Population Growth Rank,Total Wells,Final Well Rank (discounted),Total Public Supply Wells,Final Public Supply Well Rank,"Groundwater Volume
(Ac-Ft)",% of total water supply supplied by groundwater,% of total water supply supplied by surface water,Final groundwater volume rank,Final % of total water supply supplied by groundwater rank,Final groundwater Reliance rank,Irrigated Acreage,Final Irrigated Acreage Rank,Impact Ranks,Impact Comments,Other Information Rank,Other Information Comments,Additional Comments
6-42,UPPER MOJAVE RIVER VALLEY,,South Lahontan,"415,295",21.8,High,"355,338",2,151%,5,163,0.75,172,3,"66,748",79%,21%,2,4,3,"1,183",1,5,"Overdraft. Water quality impacts in basin including nitrates, inorganics, and fuel additives, etc. Superfund site within basin.",2,"Basin is adjudicated (+1). Irrigated Acreage adjustment, add +1",
6-43,EL MIRAGE VALLEY,,South Lahontan,"76,292",15.8,Medium,"10,933",1,130%,4,16,0.75,20,2,"5,300",100%,0%,1,5,3,462,1,4,"Groundwater levels have declined significantly in parts of the basin, some have recovered. Water is rated marginal to inferior for domestic and irrigation purposes. (B-118). Some documented VOCs issues also.",,,GW Use based from MWA covering for 1997-1998 water year.
6-44,ANTELOPE VALLEY,,South Lahontan,"1,014,596",21.5,High,"398,864",2,143%,4,"4,476",1.5,269,2,"90,000",94%,6%,1,5,3,21,1,5,"Closed basin. Water quality impacts per IRWMP, DWR B-118, and other sources. Extractions likely exceed natural recharge.",3,"Pending Adjudication, water reliability issues, and renewed subsidence",
6-45,TEHACHAPI VALLEY EAST,,South Lahontan,"24,055",0.0,Very Low,480,1,213%,0,228,2.25,8,2,101,48%,52%,0,3,0,96,1,5,Court adjudicated basin in overdraft. Groundwater quality issues.,,,
6-46,FREMONT VALLEY,,South Lahontan,"336,682",10.8,Low,"16,883",1,190%,0,203,0.75,19,1,"4,584",96%,4%,1,5,3,0,0,5,Basin has naturally high TDS locally and other constituents. Groundwater levels have shown significant decline throughout the basin.,,,
6-47,HARPER VALLEY,,South Lahontan,"411,827",9.8,Low,"1,634",0,82%,0,95,0.75,24,1,"10,000",8%,92%,1,1,1,813,1,5,"Extensive chromium issues well known in Hinkley. In addition, water quality of the basin is generally marginal to inferior for irrigation and domestic uses because of high concentrations of boron, fluoride, and sodium.",1,Adjudicated Basin,
6-48,GOLDSTONE VALLEY,,South Lahontan,"28,287",0.0,Very Low,0,0,0%,0,6,0.75,0,0,0,0%,100%,0,0,0,0,0,3,"Groundwater quality in the basin is rated as inferior for irrigation purposes and marginal for domestic use because of elevated concentrations of chloride, fluoride, and TDS.",,,Mostly Federal land
6-49,SUPERIOR VALLEY,,South Lahontan,"121,084",0.0,Very Low,0,0,0%,0,1,0.75,1,1,0,0%,100%,0,0,0,0,0,,,,,
6-5.01,TAHOE VALLEY,TAHOE SOUTH,North Lahontan,"14,814",18.3,Medium,"25,967",3,93%,0,680,3.75,79,5,"10,000",90%,10%,4,5,4.5,0,0,2,"STPUD reports that MTBE has had a major impact on the groundwater supply within its service area, resulting in 12 of 34 production wells unusable and the destruction of 2 wells. (B-118) & (Berghson 2000).",,,"PubCom - GW volume of 8,285 AF plus a percentage for private pumping, adjusted total wells, PSW, and impacts of MTBE (inc Doc Impact to 2) based on supported district comments"
6-5.02,TAHOE VALLEY,TAHOE WEST,North Lahontan,"6,173",0.0,Very Low,"3,110",2,79%,0,208,3.75,15,5,591,71%,29%,1,4,0,0,0,,,,,
6-5.03,TAHOE VALLEY,TAHOE NORTH,North Lahontan,"1,931",0.0,Very Low,"3,410",3,78%,0,45,3,4,5,575,62%,38%,3,4,0,0,0,,,,,
6-50,CUDDEBACK VALLEY,,South Lahontan,"95,418",0.0,Very Low,97,0,156%,0,0,0,0,0,240,99%,1%,0,5,0,0,0,3,Groundwater quality is ranked marginal to inferior for most beneficial uses due to elevated concentrations of chloride and TDS.,,,Mostly Federal land
6-51,PILOT KNOB VALLEY,,South Lahontan,"139,460",0.0,Very Low,0,0,0%,0,3,0.75,6,1,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-52,SEARLES VALLEY,,South Lahontan,"198,115",0.0,Very Low,"1,651",0,101%,0,81,0.75,0,0,400,100%,0%,0,5,0,0,0,5,"Water locally beneficial in the north, but generally unsuitable for beneficial uses due to high concentrations of fluoride, boron, sodium, chloride, sulfate, and TDS. Water levels have declined due to pumping for evaporates.",,,
6-53,SALT WELLS VALLEY,,South Lahontan,"29,629",0.0,Very Low,0,0,0%,0,1,0.75,0,0,0,0%,100%,0,0,0,0,0,5,"The groundwater is rated inferior for all beneficial uses because of high TDS content that ranges from about 4,000 mg/L to 39,000 mg/L. Other impairments are elevated concentrations of sodium, chloride, and boron (DWR 1964).",,,Mostly Federal land
6-54,INDIAN WELLS VALLEY,,South Lahontan,"383,492",14.8,Medium,"34,837",1,136%,4,231,0.75,58,1,"24,000",100%,0%,1,5,3,0,0,5,Overdraft has been documented since the 1960's. Water quality issues with respect to overdraft and mixing of aquifers.,,,GW Use based on reports from Indian Wells Valley Co-op.
6-55,COSO VALLEY,,South Lahontan,"25,684",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land. China Lake Naval Weapons.
6-56,ROSE VALLEY,,South Lahontan,"42,709",0.0,Very Low,10,0,230%,0,10,0.75,2,1,16,100%,0%,1,5,0,0,0,,,,,
6-57,DARWIN VALLEY,,South Lahontan,"44,386",0.0,Very Low,39,0,100%,0,7,0.75,0,0,54,100%,0%,0,5,0,0,0,,,,,
6-58,PANAMINT VALLEY,,South Lahontan,"260,754",0.0,Very Low,7,0,414%,0,11,0.75,4,1,10,100%,0%,0,5,0,0,0,4,Water from most wells located on the valley floor is ranked inferior for domestic use and marginal to inferior for irrigation purposes.,,,Mostly Federal land
6-6,CARSON VALLEY,,North Lahontan,"10,716",0.0,Very Low,328,1,95%,0,114,2.25,6,3,0,0%,100%,0,0,0,"2,990",3,,,,,
6-61,CAMEO AREA,,South Lahontan,"9,349",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-62,RACE TRACK VALLEY,,South Lahontan,"14,184",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-63,HIDDEN VALLEY,,South Lahontan,"18,037",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-64,MARBLE CANYON AREA,,South Lahontan,"10,422",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-65,COTTONWOOD SPRING AREA,,South Lahontan,"3,918",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-66,LEE FLAT,,South Lahontan,"20,380",0.0,Very Low,0,0,0%,0,4,0.75,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-67,MARTIS VALLEY,,North Lahontan,"36,381",17.0,Medium,"14,743",2,128%,4,686,3,15,3,"9,300",90%,10%,3,5,4,0,0,,,1,"Strong SW-GW interaction with Martis Creek, as per 2013 GWMP",GW Use from 2013 Martis Valley GWMP.
6-68,SANTA ROSA FLAT,,South Lahontan,"16,861",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-69,KELSO LANDER VALLEY,,South Lahontan,"11,208",0.0,Very Low,0,0,0%,0,8,0.75,0,0,0,0%,100%,0,0,0,0,0,,,,,
6-7,ANTELOPE VALLEY,,North Lahontan,"20,125",0.0,Very Low,876,1,100%,0,191,2.25,13,3,64,0%,100%,0,1,0,"11,375",5,,,,,
6-70,CACTUS FLAT,,South Lahontan,"7,056",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-71,LOST LAKE VALLEY,,South Lahontan,"23,414",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-72,COLES FLAT,,South Lahontan,"2,961",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-73,WILD HORSE MESA AREA,,South Lahontan,"3,337",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-74,HARRISBURG FLATS,,South Lahontan,"25,077",0.0,Very Low,1,0,500%,0,0,0,0,0,4,100%,0%,0,5,0,0,0,,,,,Mostly Federal land
6-75,WILDROSE CANYON,,South Lahontan,"5,182",0.0,Very Low,1,0,500%,0,0,0,1,2,1,100%,0%,0,5,0,0,0,,,,,Mostly Federal land
6-76,BROWN MOUNTAIN VALLEY,,South Lahontan,"21,862",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-77,GRASS VALLEY,,South Lahontan,"10,034",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-78,DENNING SPRING VALLEY,,South Lahontan,"7,289",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-79,CALIFORNIA VALLEY,,South Lahontan,"58,639",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-8,BRIDGEPORT VALLEY,,North Lahontan,"32,545",0.0,Very Low,586,1,96%,0,68,0.75,8,2,43,0%,100%,0,1,0,"16,618",4,,,,,
6-80,MIDDLE PARK CANYON,,South Lahontan,"1,752",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-81,BUTTE VALLEY,,South Lahontan,"8,853",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-82,SPRING CANYON VALLEY,,South Lahontan,"4,832",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-84,GREENWATER VALLEY,,South Lahontan,"60,260",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-85,GOLD VALLEY,,South Lahontan,"3,234",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-86,RHODES HILL AREA,,South Lahontan,"15,697",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-88,OWL LAKE VALLEY,,South Lahontan,"22,402",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-89,KANE WASH AREA,,South Lahontan,"5,997",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
6-9,MONO VALLEY,,South Lahontan,"173,299",0.0,Very Low,385,0,97%,0,13,0.75,4,1,338,94%,6%,0,5,0,0,0,,,,,Mostly Federal land
6-90,CADY FAULT AREA,,South Lahontan,"8,015",0.0,Very Low,6,0,250%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
6-91,COW HEAD LAKE VALLEY,,North Lahontan,"5,625",0.0,Very Low,0,0,0%,0,2,0.75,0,0,0,0%,100%,0,0,0,"3,287",5,,,,,GW Use based on well log and population data
6-92,PINE CREEK VALLEY,,North Lahontan,"9,526",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,GW Use based on well log and population data
6-93,HARVEY VALLEY,,North Lahontan,"4,503",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,GW Use based on well log and population data
6-94,GRASSHOPPER VALLEY,,North Lahontan,"17,665",0.0,Very Low,0,0,0%,0,4,0.75,0,0,300,33%,67%,0,2,0,250,1,,,,,GW Use based on well log and population data
6-95,DRY VALLEY,,North Lahontan,"6,498",0.0,Very Low,2,0,100%,0,4,0.75,0,0,0,0%,100%,0,0,0,104,1,,,,,
6-96,EAGLE LAKE AREA,,North Lahontan,"12,700",0.0,Very Low,41,0,83%,0,177,2.25,0,0,10,100%,0%,1,5,0,0,0,,,,,
6-97,HORSE LAKE VALLEY,,North Lahontan,"3,827",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,"1,563",4,,,,,GW Use based on well log and population data
6-98,TULEDAD CANYON VALLEY,,North Lahontan,"5,167",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,83,1,,,,,GW Use based on well log and population data
6-99,PAINTERS FLAT,,North Lahontan,"6,395",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,GW Use based on well log and population data
7-1,LANFAIR VALLEY,,Colorado River,"158,360",0.0,Very Low,19,0,74%,0,52,0.75,0,0,122,100%,0%,0,5,0,0,0,,,,,
7-10,TWENTYNINE PALMS VALLEY,,Colorado River,"62,829",8.8,Low,"22,113",1,119%,2,154,0.75,0,0,"4,026",100%,0%,1,5,3,13,1,1,"Some wells in the basin exceed the recommended levels for drinking water in fluoride, TDS, and sulfate concentrations. Thermal waters also occur in this basin (DWR 1984).",,,
7-11,COPPER MOUNTAIN VALLEY,,Colorado River,"30,540",0.0,Very Low,"6,085",1,199%,5,4,0.75,1,1,561,59%,41%,1,3,0,11,1,1,Locally high TDS and septic tank problems.,,,
7-12,WARREN VALLEY,,Colorado River,"23,952",15.3,Medium,"22,860",2,184%,5,3,0.75,33,4,"3,180",59%,41%,2,3,2.5,0,0,,,1,Basin is adjudicated.,GW Use from HDWD annual watermaster report
7-13.01,DEADMAN VALLEY,DEADMAN LAKE,Colorado River,"89,793",0.0,Very Low,22,0,100%,0,12,0.75,0,0,4,100%,0%,0,5,0,0,0,,,,,
7-13.02,DEADMAN VALLEY,SURPRISE SPRING,Colorado River,"29,507",0.0,Very Low,179,0,215%,0,0,0,10,2,31,99%,1%,0,5,0,0,0,,,,,
7-14,LAVIC VALLEY,,Colorado River,"103,132",0.0,Very Low,0,0,0%,0,12,0.75,0,0,0,0%,100%,0,0,0,0,0,,,,,
7-15,BESSEMER VALLEY,,Colorado River,"39,379",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
7-16,AMES VALLEY,,Colorado River,"109,340",0.0,Very Low,"4,540",1,106%,0,26,0.75,16,1,713,98%,2%,0,5,0,0,0,2,"Groundwater in the basin has locally high TDS, fluoride, and chloride contents (DWR 1975). TDS content reaches about 1,000 mg/L southwest of Emerson Lake (MWA 1999).",,,
7-17,MEANS VALLEY,,Colorado River,"15,061",0.0,Very Low,46,0,196%,0,0,0,0,0,26,100%,0%,0,5,0,0,0,2,"Fluoride, nitrate, and TDS concentrations are impairments locally.",,,
7-18.01,JOHNSON VALLEY,SOGGY LAKE,Colorado River,"77,865",0.0,Very Low,354,0,71%,0,4,0.75,3,1,248,100%,0%,0,5,0,0,0,,,,,
7-18.02,JOHNSON VALLEY,UPPER JOHNSON VALLEY,Colorado River,"35,050",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
7-19,LUCERNE VALLEY,,Colorado River,"148,467",9.8,Low,"3,311",1,178%,0,32,0.75,22,1,"10,000",13%,87%,1,1,1,"1,435",1,4,Water level declines noted from 40 to 100 feet. Evidence of subsidence from overdraft of basin. Locally high nitrates and TDS (B-118).,1,Fall 1954 - Fall 2002 Change in GW Storage is estimated at - 460TAF ( Napoli),GW Use based on B118-03 data
7-2,FENNER VALLEY,,Colorado River,"457,633",0.0,Very Low,31,0,68%,0,36,0.75,3,1,112,100%,0%,0,5,0,0,0,,,,,
7-20,MORONGO VALLEY,,Colorado River,"7,286",0.0,Very Low,"2,983",2,165%,5,129,3,12,5,654,100%,0%,1,5,0,0,0,,,,,
7-21.01,COACHELLA VALLEY,INDIO,Colorado River,"299,784",19.3,Medium,"368,855",2,183%,5,224,0.75,188,3,"200,979",43%,57%,4,3,3.5,"74,268",3,2,Nitrates and addition of salts due to Colorado River imported water. Local areas of elevated fluoride.,,,
7-21.02,COACHELLA VALLEY,MISSION CREEK,Colorado River,"48,966",15.8,Medium,"18,974",1,223%,5,32,0.75,11,2,"12,500",100%,0%,3,5,4,0,0,2,Radiological and nitrate issues in the basin (B-118).,1,Mission Creek GW also supplies drinking water to Desert Hot  Springs and part of Indio subbasins,GW Use based on IRWM plan
7-21.03,COACHELLA VALLEY,DESERT HOT SPRINGS,Colorado River,"101,862",12.3,Low,"22,568",1,218%,5,46,0.75,2,1,"2,500",100%,0%,0,5,2.5,896,1,1,High TDS and declining water levels have been documented for a long period of time in the Desert Hot Springs Subbasin.,,,"PubCom - GW is mainly for resorts, spas, industry, and possibly some irrigation"
7-21.04,COACHELLA VALLEY,SAN GORGONIO PASS,Colorado River,"38,823",18.8,Medium,"29,540",2,166%,5,31,0.75,30,3,"15,909",93%,7%,3,5,4,138,1,2,Basin is in overdraft.,1,Basin is adjudicated.,
7-22,WEST SALTON SEA,,Colorado River,"106,408",0.0,Very Low,"5,352",1,197%,0,2,0.75,0,0,64,100%,0%,0,5,0,0,0,3,"Groundwater is marginal to poor for domestic and irrigation use because of elevated fluoride, boron, and TDS.",,,
7-24,BORREGO VALLEY,,Colorado River,"153,978",15.3,Medium,"3,853",1,174%,0,446,0.75,33,2,"20,000",100%,0%,2,5,3.5,"4,041",1,5,Overdraft conditions over 60 years. Some wells have been abandoned or destroyed due to high nitrates.,2,Most demand for basin is concentrated in north in a small area.,PubCom - Changed GW% to 100
7-25,OCOTILLO-CLARK VALLEY,,Colorado River,"224,416",7.3,Low,27,0,137%,0,37,0.75,3,1,"3,300",0%,100%,0,1,0.5,"10,299",2,3,"High TDS, sulfate, chloride, and fluoride concentrations locally impair groundwater for domestic and irrigation use.",,,GW Use based on B118-03 data
7-26,TERWILLIGER VALLEY,,Colorado River,"8,081",0.0,Very Low,"1,085",1,205%,5,188,3,1,1,"2,000",16%,84%,2,1,0,229,1,1,Locally elevated nitrates (B-118).,,,
7-27,SAN FELIPE VALLEY,,Colorado River,"23,573",0.0,Very Low,188,0,161%,0,177,1.5,1,1,155,16%,84%,1,1,0,184,1,3,Significant groundwater declines documented in the late 1950s through early 1970s (B-118),,,
7-28,VALLECITO-CARRIZO VALLEY,,Colorado River,"122,943",0.0,Very Low,77,0,209%,0,32,0.75,1,1,176,100%,0%,0,5,0,0,0,3,Groundwater quality is marginal for domestic use because of elevated levels of fluoride and mineral content.,,,
7-29,COYOTE WELLS VALLEY,,Colorado River,"147,088",0.0,Very Low,374,0,70%,0,5,0.75,9,1,92,100%,0%,0,5,0,0,0,4,Basin is in overdraft (B-118). There are local fluoride issues and elevated TDS in some of the shallower wells in the basin.,,,
7-3,WARD VALLEY,,Colorado River,"564,569",0.0,Very Low,22,0,318%,0,22,0.75,0,0,94,100%,0%,0,5,0,0,0,,,,,
7-30,IMPERIAL VALLEY,,Colorado River,"969,017",0.0,Very Low,"164,037",1,131%,4,111,0.75,5,1,0,0%,100%,0,0,0,"621,898",5,,,,,
7-31,OROCOPIA VALLEY,,Colorado River,"97,214",0.0,Very Low,"2,243",1,316%,0,4,0.75,0,0,957,94%,6%,3,5,2.5,0,0,1,Some natural occurrences of elements or compounds that exceed drinking water standards.,,,
7-32,CHOCOLATE VALLEY,,Colorado River,"130,507",0.0,Very Low,658,0,355%,0,4,0.75,0,0,0,0%,100%,0,0,0,0,0,4,"Groundwater quality impairment due to elevated levels of fluoride, boron, and TDS (B-118). Elevated fluoride levels were found in nearly all mineral analyses of groundwater.",,,
7-33,EAST SALTON SEA,,Colorado River,"197,043",0.0,Very Low,"1,093",0,84%,0,6,0.75,0,0,0,0%,100%,0,0,0,"8,432",2,,,,,
7-34,AMOS VALLEY,,Colorado River,"131,584",0.0,Very Low,9,0,100%,0,0,0,3,1,0,0%,100%,0,0,0,0,0,,,,,
7-35,OGILBY VALLEY,,Colorado River,"135,017",0.0,Very Low,36,0,100%,0,0,0,4,1,3,0%,100%,0,1,0,418,1,,,,,
7-36,YUMA VALLEY,,Colorado River,"125,741",0.0,Very Low,"3,146",1,82%,0,3,0.75,8,1,"3,412",3%,97%,0,0,0,"30,197",3,,,,,
7-37,ARROYO SECO VALLEY,,Colorado River,"259,806",0.0,Very Low,6,0,100%,0,3,0.75,1,1,28,100%,0%,0,5,0,0,0,,,,,
7-38,PALO VERDE VALLEY,,Colorado River,"74,004",12.8,Low,"7,459",1,136%,4,80,0.75,15,2,"3,472",1%,99%,1,1,1,"64,741",5,1,Some elevated TDS in groundwater makes water unsuitable for domestic or irrigation purposes.(B-118),-2,Irrigated acres is almost all surface water. Reduce ranking somewhat due to low GW use,
7-39,PALO VERDE MESA,,Colorado River,"228,010",9.3,Low,"9,231",1,87%,0,215,0.75,9,1,"3,710",2%,98%,0,1,0.5,"42,383",3,3,"Arsenic, selenium, fluoride, chloride, boron, sulfate, and TDS concentrations are high (DWR 1975).",,,
7-4,RICE VALLEY,,Colorado River,"190,622",0.0,Very Low,23,0,83%,0,7,0.75,0,0,4,100%,0%,0,5,0,0,0,,,,,
7-40,QUIEN SABE POINT VALLEY,,Colorado River,"25,489",0.0,Very Low,112,0,100%,0,0,0,0,0,93,2%,98%,0,1,0,541,1,,,,,
7-41,CALZONA VALLEY,,Colorado River,"81,708",0.0,Very Low,"1,608",1,100%,0,4,0.75,0,0,"1,090",100%,0%,0,5,0,0,0,,,,,
7-42,VIDAL VALLEY,,Colorado River,"139,577",0.0,Very Low,10,0,150%,0,2,0.75,1,1,6,100%,0%,0,5,0,0,0,4,"Fluoride, chloride, sulfate, and TDS concentrations are high (DWR 1975). GW near town of Vidal has fluoride concentrations making water unusable domestically and sodium contents make water marginal for irrigation.",,,
7-43,CHEMEHUEVI VALLEY,,Colorado River,"275,713",0.0,Very Low,395,0,94%,0,18,0.75,0,0,94,100%,1.11E-15,0,5,0,0,0,3,"Concentrations of sulfate, chloride, fluoride, and TDS
are high (DWR 1975).",,,
7-44,NEEDLES VALLEY,,Colorado River,"89,101",8.3,Low,"4,902",1,90%,0,207,0.75,16,2,"2,500",11%,89%,0,1,0.5,"3,470",1,3,"Concentrations of sulfate, chloride, fluoride, and TDS content levels are high in the basin (DWR 1975).",,,Majority of basin land use is on AZ side.
7-45,PIUTE VALLEY,,Colorado River,"177,319",0.0,Very Low,2,0,100%,0,10,0.75,0,0,96,100%,0%,0,5,0,0,0,,,,,
7-46,CANEBRAKE VALLEY,,Colorado River,"5,460",0.0,Very Low,2,0,100%,0,0,0,0,0,2,100%,0%,1,5,0,0,0,,,,,
7-47,JACUMBA VALLEY,,Colorado River,"2,472",0.0,Very Low,517,1,94%,0,14,1.5,2,4,427,100%,0%,2,5,0,0,0,5,"According to San Diego County documents, some wells are reportingly going dry; this is a small basin with over 500 residents and no source of imported water. TDS of some groundwaters recharging the basin are high.",3,"According to aerial imagery review, GIS, and other docs,approximately 500 acres of crops are irrigated and Bulletin 118 boundary is significantly over exaggerated (incorporating bedrock areas probably 30 percent of which are included in B118 boundary)",
7-48,HELENDALE FAULT VALLEY,,Colorado River,"2,637",0.0,Very Low,9,0,211%,0,6,0.75,0,0,6,100%,0%,0,5,0,0,0,,,,,
7-49,PIPES CANYON FAULT VALLEY,,Colorado River,"3,408",0.0,Very Low,5,0,600%,0,13,1.5,0,0,3,100%,0%,0,5,0,0,0,,,,,
7-5,CHUCKWALLA VALLEY,,Colorado River,"608,995",10.8,Low,"7,853",1,36%,0,102,0.75,11,1,"5,959",75%,25%,0,4,2,422,1,3,"Sulfate, chloride, fluoride, and TDS concentrations are high for domestic use (DWR 1975). High of boron and TDS concentrations, and high sodium percentage impair groundwater for irrigation use (DWR 1975).",2,"Significant growth in industry (solar), and others. Prison is also a significant user the the GW resources.",
7-50,IRON RIDGE AREA,,Colorado River,"5,284",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
7-51,LOST HORSE VALLEY,,Colorado River,"17,455",0.0,Very Low,0,0,0%,0,1,0.75,0,0,0,0%,100%,0,0,0,0,0,,,,,
7-52,PLEASANT VALLEY,,Colorado River,"9,733",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
7-53,HEXIE MOUNTAIN AREA,,Colorado River,"11,236",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
7-54,BUCK RIDGE FAULT VALLEY,,Colorado River,"6,974",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
7-55,COLLINS VALLEY,,Colorado River,"7,121",0.0,Very Low,11,0,427%,0,0,0,0,0,6,100%,0%,1,5,0,0,0,,,,,
7-56,YAQUI WELL AREA,,Colorado River,"15,098",0.0,Very Low,4,0,175%,0,7,0.75,2,1,3,100%,0%,1,5,0,0,0,,,,,
7-59,MASON VALLEY,,Colorado River,"5,567",0.0,Very Low,23,0,252%,0,6,0.75,1,2,19,100%,0%,1,5,0,0,0,,,,,
7-6,PINTO VALLEY,,Colorado River,"184,377",0.0,Very Low,7,0,300%,0,2,0.75,2,1,0,0%,100%,0,0,0,0,0,,,,,
7-61,DAVIES VALLEY,,Colorado River,"3,600",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,Mostly Federal land
7-62,JOSHUA TREE,,Colorado River,"27,422",0.0,Very Low,"4,951",1,173%,5,29,0.75,12,3,773,99%,1%,0,5,0,0,0,1,"Fluoride concentration in water from some wells has reached 9.0 mg/L, exceeding recommended maximum concentration levels of 1.4 mg/L (B-118, DWR 1984).",,,
7-63,VANDEVENTER FLAT,,Colorado River,"6,787",0.0,Very Low,50,0,78%,0,6,0.75,0,0,16,94%,6%,0,5,0,0,0,,,,,
7-7,CADIZ VALLEY,,Colorado River,"272,931",0.0,Very Low,10,0,540%,0,6,0.75,0,0,58,100%,0%,0,5,0,0,0,,,,,
7-8,BRISTOL VALLEY,,Colorado River,"501,834",8.3,Low,27,0,174%,0,63,0.75,1,1,"5,000",100%,0%,0,5,2.5,943,1,3,Fluoride content in some wells exceeds the recommended MCL level (C-118). TDS content is extremely high in some wells near Bristol Lake (DWR 1967).,,,GW Used is from Metropolitan WD (1999)
7-9,DALE VALLEY,,Colorado River,"214,650",0.0,Very Low,"1,197",0,98%,0,178,0.75,2,1,"1,500",91%,9%,0,5,0,18,1,5,"Groundwater quality in basin is generally unsuitable for domestic and agricultural uses (DWR 1979). TDS and F concentrations impair for domestic use, and B and Na concentrations impair agricultural use in basin (DWR 1979). USGS data shows declining water.",,,
8-1,COASTAL PLAIN OF ORANGE COUNTY,,South Coast,"223,222",20.8,Medium,"2,309,966",5,110%,2,"8,534",3.75,200,4,"342,000",100%,0%,5,5,5,0,0,1,Saline intrusion issues.,,,
8-2.01,UPPER SANTA ANA VALLEY,CHINO,South Coast,"154,693",23.3,High,"898,653",4,112%,2,"2,162",2.25,178,4,"169,488",53%,47%,5,3,4,"25,000",3,3,"Locally high nitrates and TDS. PubCom, to include subsidence, historic overdraft, ground fissuring, problems mitigated with OBMP, reduce from 4 to 3.",1,"Basin is adjudicated. Pub Com, program of controlled overdraft of 400,000 AF from the Chino Basin though 2030 to control the outflow of poor-quality rising GW","PubCom, Data provided for GW use, Percent supplied by GW, Irrigated Acres, wells, and PSW"
